
번호	한국어	일본어	영어	프랑스어	독일어	중국어	스페인어	이탈리아어
0281	킬리아	キルリア	Kirlia	Kirlia	Kirlia	奇魯莉安	Kirlia	Kirlia
0282	가디안	サーナイト	Gardevoir	Gardevoir	Guardevoir	沙奈朵	Gardevoir	Gardevoir
0283	비구술	アメタマ	Surskit	Arakdo	Gehweiher	溜溜糖球	Surskit	Surskit
0284	비나방	アメモース	Masquerain	Maskadra	Maskeregen	雨翅蛾	Masquerain	Masquerain
0285	버섯꼬	キノココ	Shroomish	Balignon	Knilz	蘑蘑菇	Shroomish	Shroomish
0286	버섯모	キノガッサ	Breloom	Chapignon	Kapilz	斗笠菇	Breloom	Breloom
0287	게을로	ナマケロ	Slakoth	Parecool	Bummelz	懶人獺	Slakoth	Slakoth
0288	발바로	ヤルキモノ	Vigoroth	Vigoroth	Muntier	過動猿	Vigoroth	Vigoroth
0289	게을킹	ケッキング	Slaking	Monaflèmit	Letarking	請假王	Slaking	Slaking
0290	토중몬	ツチニン	Nincada	Ningale	Nincada	土居忍士	Nincada	Nincada
0291	아이스크	テッカニン	Ninjask	Ninjask	Ninjask	鐵面忍者	Ninjask	Ninjask
0292	껍질몬	ヌケニン	Shedinja	Munja	Ninjatom	脫殼忍者	Shedinja	Shedinja
0293	소곤룡	ゴニョニョ	Whismur	Chuchmur	Flurmel	咕妞妞	Whismur	Whismur
0294	노공룡	ドゴーム	Loudred	Ramboum	Krakeelo	吼爆彈	Loudred	Loudred
0295	폭음룡	バクオング	Exploud	Brouhabam	Krawumms	爆音怪	Exploud	Exploud
0296	마크탕	マクノシタ	Makuhita	Makuhita	Makuhita	幕下力士	Makuhita	Makuhita
0297	하리뭉	ハリテヤマ	Hariyama	Hariyama	Hariyama	鐵掌力士	Hariyama	Hariyama
0298	루리리	ルリリ	Azurill	Azurill	Azurill	露力麗	Azurill	Azurill
0299	코코파스	ノズパス	Nosepass	Tarinor	Nasgnet	朝北鼻	Nosepass	Nosepass
0300	에나비	エネコ	Skitty	Skitty	Eneco	向尾喵	Skitty	Skitty
0301	델케티	エネコロロ	Delcatty	Delcatty	Enekoro	優雅貓	Delcatty	Delcatty
0302	깜까미	ヤミラミ	Sableye	Ténéfix	Zobiris	勾魂眼	Sableye	Sableye
0303	입치트	クチート	Mawile	Mysdibule	Flunkifer	大嘴娃	Mawile	Mawile
0304	가보리	ココドラ	Aron	Galekid	Stollunior	可可多拉	Aron	Aron
0305	갱도라	コドラ	Lairon	Galegon	Stollrak	可多拉	Lairon	Lairon
0306	보스로라	ボスゴドラ	Aggron	Galeking	Stolloss	波士可多拉	Aggron	Aggron
0307	요가랑	アサナン	Meditite	Méditikka	Meditie	瑪沙那	Meditite	Meditite
0308	요가램	チャーレム	Medicham	Charmina	Meditalis	恰雷姆	Medicham	Medicham
0309	썬더라이	ラクライ	Electrike	Dynavolt	Frizelbliz	落雷獸	Electrike	Electrike
0310	썬더볼트	ライボルト	Manectric	Élecsprint	Voltenso	雷電獸	Manectric	Manectric
0311	플러시	プラスル	Plusle	Posipi	Plusle	正電拍拍	Plusle	Plusle
0312	마이농	マイナン	Minun	Négapi	Minun	負電拍拍	Minun	Minun
0313	볼비트	バルビート	Volbeat	Muciole	Volbeat	電螢蟲	Volbeat	Volbeat
0314	네오비트	イルミーゼ	Illumise	Lumivole	Illumise	甜甜螢	Illumise	Illumise
0315	로젤리아	ロゼリア	Roselia	Rosélia	Roselia	毒薔薇	Roselia	Roselia
0316	꼴깍몬	ゴクリン	Gulpin	Gloupti	Schluppuck	溶食獸	Gulpin	Gulpin
0317	꿀꺽몬	マルノーム	Swalot	Avaltout	Schlukwech	吞食獸	Swalot	Swalot
0318	샤프니아	キバニア	Carvanha	Carvanha	Kanivanha	利牙魚	Carvanha	Carvanha
0319	샤크니아	サメハダー	Sharpedo	Sharpedo	Tohaido	巨牙鯊	Sharpedo	Sharpedo
0320	고래왕자	ホエルコ	Wailmer	Wailmer	Wailmer	吼吼鯨	Wailmer	Wailmer
0321	고래왕	ホエルオー	Wailord	Wailord	Wailord	吼鯨王	Wailord	Wailord
0322	둔타	ドンメル	Numel	Chamallot	Camaub	呆火駝	Numel	Numel
0323	폭타	バクーダ	Camerupt	Camérupt	Camerupt	噴火駝	Camerupt	Camerupt
0324	코터스	コータス	Torkoal	Chartor	Qurtel	煤炭龜	Torkoal	Torkoal
0325	피그점프	バネブー	Spoink	Spoink	Spoink	跳跳豬	Spoink	Spoink
0326	피그킹	ブーピッグ	Grumpig	Groret	Groink	噗噗豬	Grumpig	Grumpig
0327	얼루기	パッチール	Spinda	Spinda	Pandir	晃晃斑	Spinda	Spinda
0328	톱치	ナックラー	Trapinch	Kraknoix	Knacklion	大顎蟻	Trapinch	Trapinch
0329	비브라바	ビブラーバ	Vibrava	Vibraninf	Vibrava	超音波幼蟲	Vibrava	Vibrava
0330	플라이곤	フライゴン	Flygon	Libégon	Libelldra	沙漠蜻蜓	Flygon	Flygon
0331	선인왕	サボネア	Cacnea	Cacnea	Tuska	刺球仙人掌	Cacnea	Cacnea
0332	밤선인	ノクタス	Cacturne	Cacturne	Noktuska	夢歌仙人掌	Cacturne	Cacturne
0333	파비코	チルット	Swablu	Tylton	Wablu	青綿鳥	Swablu	Swablu
0334	파비코리	チルタリス	Altaria	Altaria	Altaria	七夕青鳥	Altaria	Altaria
0335	쟝고	ザングース	Zangoose	Mangriff	Sengo	貓鼬斬	Zangoose	Zangoose
0336	세비퍼	ハブネーク	Seviper	Séviper	Vipitis	飯匙蛇	Seviper	Seviper
0337	루나톤	ルナトーン	Lunatone	Séléroc	Lunastein	月石	Lunatone	Lunatone
0338	솔록	ソルロック	Solrock	Solaroc	Sonnfel	太陽岩	Solrock	Solrock
0339	미꾸리	ドジョッチ	Barboach	Barloche	Schmerbe	泥泥鰍	Barboach	Barboach
0340	메깅	ナマズン	Whiscash	Barbicha	Welsar	鯰魚王	Whiscash	Whiscash
0341	가재군	ヘイガニ	Corphish	Écrapince	Krebscorps	龍蝦小兵	Corphish	Corphish
0342	가재장군	シザリガー	Crawdaunt	Colhomard	Krebutack	鐵螯龍蝦	Crawdaunt	Crawdaunt
0343	오뚝군	ヤジロン	Baltoy	Balbuto	Puppance	天秤偶	Baltoy	Baltoy
0344	점토도리	ネンドール	Claydol	Kaorine	Lepumentas	念力土偶	Claydol	Claydol
0345	릴링	リリーラ	Lileep	Lilia	Liliep	觸手百合	Lileep	Lileep
0346	릴리요	ユレイドル	Cradily	Vacilys	Wielie	搖籃百合	Cradily	Cradily
0347	아노딥스	アノプス	Anorith	Anorith	Anorith	太古羽蟲	Anorith	Anorith
0348	아말도	アーマルド	Armaldo	Armaldo	Armaldo	太古盔甲	Armaldo	Armaldo
0349	빈티나	ヒンバス	Feebas	Barpau	Barschwa	醜醜魚	Feebas	Feebas
0350	밀로틱	ミロカロス	Milotic	Milobellus	Milotic	美納斯	Milotic	Milotic
0351	캐스퐁	ポワルン	Castform	Morphéo	Formeo	飄浮泡泡	Castform	Castform
0352	켈리몬	カクレオン	Kecleon	Kecleon	Kecleon	變隱龍	Kecleon	Kecleon
0353	어둠대신	カゲボウズ	Shuppet	Polichombr	Shuppet	怨影娃娃	Shuppet	Shuppet
0354	다크펫	ジュペッタ	Banette	Branette	Banette	詛咒娃娃	Banette	Banette
0355	해골몽	ヨマワル	Duskull	Skelénox	Zwirrlicht	夜巡靈	Duskull	Duskull
0356	미라몽	サマヨール	Dusclops	Téraclope	Zwirrklop	彷徨夜靈	Dusclops	Dusclops
0357	트로피우스	トロピウス	Tropius	Tropius	Tropius	熱帶龍	Tropius	Tropius
0358	치렁	チリーン	Chimecho	Éoko	Palimpalim	風鈴鈴	Chimecho	Chimecho
0359	앱솔	アブソル	Absol	Absol	Absol	阿勃梭魯	Absol	Absol
0360	마자	ソーナノ	Wynaut	Okéoké	Isso	小果然	Wynaut	Wynaut
0361	눈꼬마	ユキワラシ	Snorunt	Stalgamin	Schneppke	雪童子	Snorunt	Snorunt
0362	얼음귀신	オニゴーリ	Glalie	Oniglali	Firnontor	冰鬼護	Glalie	Glalie
0363	대굴레오	タマザラシ	Spheal	Obalie	Seemops	海豹球	Spheal	Spheal
0364	씨레오	トドグラー	Sealeo	Phogleur	Seejong	海魔獅	Sealeo	Sealeo
0365	씨카이저	トドゼルガ	Walrein	Kaimorse	Walraisa	帝牙海獅	Walrein	Walrein
0366	진주몽	パールル	Clamperl	Coquiperl	Perlu	珍珠貝	Clamperl	Clamperl
0367	헌테일	ハンテール	Huntail	Serpang	Aalabyss	獵斑魚	Huntail	Huntail
0368	분홍장이	サクラビス	Gorebyss	Rosabyss	Saganabyss	櫻花魚	Gorebyss	Gorebyss
0369	시라칸	ジーランス	Relicanth	Relicanth	Relicanth	古空棘魚	Relicanth	Relicanth
0370	사랑동이	ラブカス	Luvdisc	Lovdisc	Liebiskus	愛心魚	Luvdisc	Luvdisc
0371	아공이	タツベイ	Bagon	Draby	Kindwurm	寶貝龍	Bagon	Bagon
0372	쉘곤	コモルー	Shelgon	Drackhaus	Draschel	甲殼龍	Shelgon	Shelgon
0373	보만다	ボーマンダ	Salamence	Drattak	Brutalanda	暴飛龍	Salamence	Salamence
0374	메탕	ダンバル	Beldum	Terhal	Tanhel	鐵啞鈴	Beldum	Beldum
0375	메탕구	メタング	Metang	Métang	Metang	金屬怪	Metang	Metang
0376	메타그로스	メタグロス	Metagross	Métalosse	Metagross	巨金怪	Metagross	Metagross
0377	레지락	レジロック	Regirock	Regirock	Regirock	雷吉洛克	Regirock	Regirock
0378	레지아이스	レジアイス	Regice	Regice	Regice	雷吉艾斯	Regice	Regice
0379	레지스틸	レジスチル	Registeel	Registeel	Registeel	雷吉斯奇魯	Registeel	Registeel
0380	라티아스	ラティアス	Latias	Latias	Latias	拉帝亞斯	Latias	Latias
0381	라티오스	ラティオス	Latios	Latios	Latios	拉帝歐斯	Latios	Latios
0382	가이오가	カイオーガ	Kyogre	Kyogre	Kyogre	蓋歐卡	Kyogre	Kyogre
0383	그란돈	グラードン	Groudon	Groudon	Groudon	固拉多	Groudon	Groudon
0384	레쿠쟈	レックウザ	Rayquaza	Rayquaza	Rayquaza	烈空坐	Rayquaza	Rayquaza
0385	지라치	ジラーチ	Jirachi	Jirachi	Jirachi	基拉祈	Jirachi	Jirachi
0386	테오키스	デオキシス	Deoxys	Deoxys	Deoxys	代歐奇希斯	Deoxys	Deoxys
0387	모부기	ナエトル	Turtwig	Tortipouss	Chelast	草苗龜	Turtwig	Turtwig
0388	수풀부기	ハヤシガメ	Grotle	Boskara	Chelcarain	樹林龜	Grotle	Grotle
0389	토대부기	ドダイトス	Torterra	Torterra	Chelterrar	土台龜	Torterra	Torterra
0390	불꽃숭이	ヒコザル	Chimchar	Ouisticram	Panflam	小火焰猴	Chimchar	Chimchar
0391	파이숭이	モウカザル	Monferno	Chimpenfeu	Panpyro	猛火猴	Monferno	Monferno
0392	초염몽	ゴウカザル	Infernape	Simiabraz	Panferno	烈焰猴	Infernape	Infernape
0393	팽도리	ポッチャマ	Piplup	Tiplouf	Plinfa	波加曼	Piplup	Piplup
0394	팽태자	ポッタイシ	Prinplup	Prinplouf	Pliprin	波皇子	Prinplup	Prinplup
0395	엠페르트	エンペルト	Empoleon	Pingoléon	Impoleon	帝王拿波	Empoleon	Empoleon
0396	찌르꼬	ムックル	Starly	Étourmi	Staralili	姆克兒	Starly	Starly
0397	찌르버드	ムクバード	Staravia	Étourvol	Staravia	姆克鳥	Staravia	Staravia
0398	찌르호크	ムクホーク	Staraptor	Étouraptor	Staraptor	姆克鷹	Staraptor	Staraptor
0399	비버니	ビッパ	Bidoof	Keunotor	Bidiza	大牙狸	Bidoof	Bidoof
0400	비버통	ビーダル	Bibarel	Castorno	Bidifas	大尾狸	Bibarel	Bibarel
0401	귀뚤뚜기	コロボーシ	Kricketot	Crikzik	Zirpurze	圓法師	Kricketot	Kricketot
0402	귀뚤톡크	コロトック	Kricketune	Mélokrik	Zirpeise	音箱蟀	Kricketune	Kricketune
0403	꼬링크	コリンク	Shinx	Lixy	Sheinux	小貓怪	Shinx	Shinx
0404	럭시오	ルクシオ	Luxio	Luxio	Luxio	勒克貓	Luxio	Luxio
0405	렌트라	レントラー	Luxray	Luxray	Luxtra	倫琴貓	Luxray	Luxray
0406	꼬몽울	スボミー	Budew	Rozbouton	Knospi	含羞苞	Budew	Budew
0407	로즈레이드	ロズレイド	Roserade	Roserade	Roserade	羅絲雷朵	Roserade	Roserade
0408	두개도스	ズガイドス	Cranidos	Kranidos	Koknodon	頭蓋龍	Cranidos	Cranidos
0409	램펄드	ラムパルド	Rampardos	Charkos	Rameidon	戰槌龍	Rampardos	Rampardos
0410	방패톱스	タテトプス	Shieldon	Dinoclier	Schilterus	盾甲龍	Shieldon	Shieldon
0411	바리톱스	トリデプス	Bastiodon	Bastiodon	Bollterus	護城龍	Bastiodon	Bastiodon
0412	도롱충이	ミノムッチ	Burmy	Cheniti	Burmy	結草兒	Burmy	Burmy
0413	도롱마담	ミノマダム	Wormadam	Cheniselle	Burmadame	結草貴婦	Wormadam	Wormadam
0414	나메일	ガーメイル	Mothim	Papilord	Moterpel	紳士蛾	Mothim	Mothim
0415	세꿀버리	ミツハニー	Combee	Apitrini	Wadribie	三蜜蜂	Combee	Combee
0416	비퀸	ビークイン	Vespiquen	Apireine	Honweisel	蜂女王	Vespiquen	Vespiquen
0417	파치리스	パチリス	Pachirisu	Pachirisu	Pachirisu	帕奇利茲	Pachirisu	Pachirisu
0418	브이젤	ブイゼル	Buizel	Mustébouée	Bamelin	泳圈鼬	Buizel	Buizel
0419	플로젤	フローゼル	Floatzel	Mustéflott	Bojelin	浮潛鼬	Floatzel	Floatzel
0420	체리버	チェリンボ	Cherubi	Ceribou	Kikugi	櫻花寶	Cherubi	Cherubi
0421	체리꼬	チェリム	Cherrim	Ceriflor	Kinoso	櫻花兒	Cherrim	Cherrim
0422	깝질무	カラナクシ	Shellos	Sancoki	Schalellos	無殼海兔	Shellos	Shellos
0423	트리토돈	トリトドン	Gastrodon	Tritosor	Gastrodon	海兔獸	Gastrodon	Gastrodon
0424	겟핸보숭	エテボース	Ambipom	Capidextre	Ambidiffel	雙尾怪手	Ambipom	Ambipom
0425	흔들풍손	フワンテ	Drifloon	Baudrive	Driftlon	飄飄球	Drifloon	Drifloon
0426	둥실라이드	フワライド	Drifblim	Grodrive	Drifzepeli	隨風球	Drifblim	Drifblim
0427	이어롤	ミミロル	Buneary	Laporeille	Haspiror	捲捲耳	Buneary	Buneary
0428	이어롭	ミミロップ	Lopunny	Lockpin	Schlapor	長耳兔	Lopunny	Lopunny
0429	무우마직	ムウマージ	Mismagius	Magirêve	Traunmagil	夢妖魔	Mismagius	Mismagius
0430	돈크로우	ドンカラス	Honchkrow	Corboss	Kramshef	烏鴉頭頭	Honchkrow	Honchkrow
0431	나옹마	ニャルマー	Glameow	Chaglam	Charmian	魅力喵	Glameow	Glameow
0432	몬냥이	ブニャット	Purugly	Chaffreux	Shnurgarst	東施喵	Purugly	Purugly
0433	랑딸랑	リーシャン	Chingling	Korillon	Klingplim	鈴鐺響	Chingling	Chingling
0434	스컹뿡	スカンプー	Stunky	Moufouette	Skunkapuh	臭鼬噗	Stunky	Stunky
0435	스컹탱크	スカタンク	Skuntank	Moufflair	Skuntank	坦克臭鼬	Skuntank	Skuntank
0436	동미러	ドーミラー	Bronzor	Archéomire	Bronzel	銅鏡怪	Bronzor	Bronzor
0437	동탁군	ドータクン	Bronzong	Archéodong	Bronzong	青銅鐘	Bronzong	Bronzong
0438	꼬지지	ウソハチ	Bonsly	Manzaï	Mobai	盆才怪	Bonsly	Bonsly
0439	흉내내	マネネ	Mime Jr.	Mime Jr.	Pantimimi	魔尼尼	Mime Jr.	Mime Jr.
0440	핑복	ピンプク	Happiny	Ptiravi	Wonneira	小福蛋	Happiny	Happiny
0441	페라페	ペラップ	Chatot	Pijako	Plaudagei	聒噪鳥	Chatot	Chatot
0442	화강돌	ミカルゲ	Spiritomb	Spiritomb	Kryppuk	花岩怪	Spiritomb	Spiritomb
0443	딥상어동	フカマル	Gible	Griknot	Kaumalat	圓陸鯊	Gible	Gible
0444	한바이트	ガバイト	Gabite	Carmache	Knarksel	尖牙陸鯊	Gabite	Gabite
0445	한카리아스	ガブリアス	Garchomp	Carchacrok	Knakrack	烈咬陸鯊	Garchomp	Garchomp
0446	먹고자	ゴンベ	Munchlax	Goinfrex	Mampfaxo	小卡比獸	Munchlax	Munchlax
0447	리오르	リオル	Riolu	Riolu	Riolu	利歐路	Riolu	Riolu
0448	루카리오	ルカリオ	Lucario	Lucario	Lucario	路卡利歐	Lucario	Lucario
0449	히포포타스	ヒポポタス	Hippopotas	Hippopotas	Hippopotas	沙河馬	Hippopotas	Hippopotas
0450	하마돈	カバルドン	Hippowdon	Hippodocus	Hippoterus	河馬獸	Hippowdon	Hippowdon
0451	스콜피	スコルピ	Skorupi	Rapion	Pionskora	鉗尾蠍	Skorupi	Skorupi
0452	드래피온	ドラピオン	Drapion	Drascore	Piondragi	龍王蠍	Drapion	Drapion
0453	삐딱구리	グレッグル	Croagunk	Cradopaud	Glibunkel	不良蛙	Croagunk	Croagunk
0454	독개굴	ドクロッグ	Toxicroak	Coatox	Toxiquak	毒骷蛙	Toxicroak	Toxicroak
0455	무스틈니	マスキッパ	Carnivine	Vortente	Venuflibis	尖牙籠	Carnivine	Carnivine
0456	형광어	ケイコウオ	Finneon	Écayon	Finneon	螢光魚	Finneon	Finneon
0457	네오라이트	ネオラント	Lumineon	Luminéon	Lumineon	霓虹魚	Lumineon	Lumineon
0458	타만타	タマンタ	Mantyke	Babimanta	Mantirps	小球飛魚	Mantyke	Mantyke
0459	눈쓰개	ユキカブリ	Snover	Blizzi	Shnebedeck	雪笠怪	Snover	Snover
0460	눈설왕	ユキノオー	Abomasnow	Blizzaroi	Rexblisar	暴雪王	Abomasnow	Abomasnow
0461	포푸니라	マニューラ	Weavile	Dimoret	Snibunna	瑪狃拉	Weavile	Weavile
0462	자포코일	ジバコイル	Magnezone	Magnézone	Magnezone	自爆磁怪	Magnezone	Magnezone
0463	내룸벨트	ベロベルト	Lickilicky	Coudlangue	Schlurplek	大舌舔	Lickilicky	Lickilicky
0464	거대코뿌리	ドサイドン	Rhyperior	Rhinastoc	Rihornior	超甲狂犀	Rhyperior	Rhyperior
0465	덩쿠림보	モジャンボ	Tangrowth	Bouldeneu	Tangoloss	巨蔓藤	Tangrowth	Tangrowth
0466	에레키블	エレキブル	Electivire	Élekable	Elevoltek	電擊魔獸	Electivire	Electivire
0467	마그마번	ブーバーン	Magmortar	Maganon	Magbrant	鴨嘴炎獸	Magmortar	Magmortar
0468	토게키스	トゲキッス	Togekiss	Togekiss	Togekiss	波克基斯	Togekiss	Togekiss
0469	메가자리	メガヤンマ	Yanmega	Yanméga	Yanmega	遠古巨蜓	Yanmega	Yanmega
0470	리피아	リーフィア	Leafeon	Phyllali	Folipurba	葉伊布	Leafeon	Leafeon
0471	글레이시아	グレイシア	Glaceon	Givrali	Glaziola	冰伊布	Glaceon	Glaceon
0472	글라이온	グライオン	Gliscor	Scorvol	Skorgro	天蠍王	Gliscor	Gliscor
0473	맘모꾸리	マンムー	Mamoswine	Mammochon	Mamutel	象牙豬	Mamoswine	Mamoswine
0474	폴리곤Z	ポリゴンＺ	Porygon-Z	Porygon-Z	Porygon-Z	多邊獸Ｚ	Porygon-Z	Porygon-Z
0475	엘레이드	エルレイド	Gallade	Gallame	Galagladi	艾路雷朵	Gallade	Gallade
0476	대코파스	ダイノーズ	Probopass	Tarinorme	Voluminas	大朝北鼻	Probopass	Probopass
0477	야느와르몽	ヨノワール	Dusknoir	Noctunoir	Zwirrfinst	黑夜魔靈	Dusknoir	Dusknoir
0478	눈여아	ユキメノコ	Froslass	Momartik	Frosdedje	雪妖女	Froslass	Froslass
0479	로토무	ロトム	Rotom	Motisma	Rotom	洛托姆	Rotom	Rotom
0480	유크시	ユクシー	Uxie	Créhelf	Selfe	由克希	Uxie	Uxie
0481	엠라이트	エムリット	Mesprit	Créfollet	Vesprit	艾姆利多	Mesprit	Mesprit
0482	아그놈	アグノム	Azelf	Créfadet	Tobutz	亞克諾姆	Azelf	Azelf
0483	디아루가	ディアルガ	Dialga	Dialga	Dialga	帝牙盧卡	Dialga	Dialga
0484	펄기아	パルキア	Palkia	Palkia	Palkia	帕路奇亞	Palkia	Palkia
0485	히드런	ヒードラン	Heatran	Heatran	Heatran	席多藍恩	Heatran	Heatran
0486	레지기가스	レジギガス	Regigigas	Regigigas	Regigigas	雷吉奇卡斯	Regigigas	Regigigas
0487	기라티나	ギラティナ	Giratina	Giratina	Giratina	騎拉帝納	Giratina	Giratina
0488	크레세리아	クレセリア	Cresselia	Cresselia	Cresselia	克雷色利亞	Cresselia	Cresselia
0489	피오네	フィオネ	Phione	Phione	Phione	霏歐納	Phione	Phione
0490	마나피	マナフィ	Manaphy	Manaphy	Manaphy	瑪納霏	Manaphy	Manaphy
0491	다크라이	ダークライ	Darkrai	Darkrai	Darkrai	達克萊伊	Darkrai	Darkrai
0492	쉐이미	シェイミ	Shaymin	Shaymin	Shaymin	謝米	Shaymin	Shaymin
0493	아르세우스	アルセウス	Arceus	Arceus	Arceus	阿爾宙斯	Arceus	Arceus
0494	비크티니	ビクティニ	Victini	Victini	Victini	比克提尼	Victini	Victini
0495	주리비얀	ツタージャ	Snivy	Vipélierre	Serpifeu	藤藤蛇	Snivy	Snivy
0496	샤비	ジャノビー	Servine	Lianaja	Efoserp	青藤蛇	Servine	Servine
0497	샤로다	ジャローダ	Serperior	Majaspic	Serpiroyal	君主蛇	Serperior	Serperior
0498	뚜꾸리	ポカブ	Tepig	Gruikui	Floink	暖暖豬	Tepig	Tepig
0499	챠오꿀	チャオブー	Pignite	Grotichon	Ferkokel	炒炒豬	Pignite	Pignite
0500	염무왕	エンブオー	Emboar	Roitiflam	Flambirex	炎武王	Emboar	Emboar
0501	수댕이	ミジュマル	Oshawott	Moustillon	Ottaro	水水獺	Oshawott	Oshawott
0502	쌍검자비	フタチマル	Dewott	Mateloutre	Zwottronin	雙刃丸	Dewott	Dewott
0503	대검귀	ダイケンキ	Samurott	Clamiral	Admurai	大劍鬼	Samurott	Samurott
0504	보르쥐	ミネズミ	Patrat	Ratentif	Nagelotz	探探鼠	Patrat	Patrat
0505	보르그	ミルホッグ	Watchog	Miradar	Kukmarda	步哨鼠	Watchog	Watchog
0506	요테리	ヨーテリー	Lillipup	Ponchiot	Yorkleff	小約克	Lillipup	Lillipup
0507	하데리어	ハーデリア	Herdier	Ponchien	Terribark	哈約克	Herdier	Herdier
0508	바랜드	ムーランド	Stoutland	Mastouffe	Bissbark	長毛狗	Stoutland	Stoutland
0509	쌔비냥	チョロネコ	Purrloin	Chacripan	Felilou	扒手貓	Purrloin	Purrloin
0510	레파르다스	レパルダス	Liepard	Léopardus	Kleoparda	酷豹	Liepard	Liepard
0511	야나프	ヤナップ	Pansage	Feuillajou	Vegimak	花椰猴	Pansage	Pansage
0512	야나키	ヤナッキー	Simisage	Feuiloutan	Vegichita	花椰猿	Simisage	Simisage
0513	바오프	バオップ	Pansear	Flamajou	Grillmak	爆香猴	Pansear	Pansear
0514	바오키	バオッキー	Simisear	Flamoutan	Grillchita	爆香猿	Simisear	Simisear
0515	앗차프	ヒヤップ	Panpour	Flotajou	Sodamak	冷水猴	Panpour	Panpour
0516	앗차키	ヒヤッキー	Simipour	Flotoutan	Sodachita	冷水猿	Simipour	Simipour
0517	몽나	ムンナ	Munna	Munna	Somniam	食夢夢	Munna	Munna
0518	몽얌나	ムシャーナ	Musharna	Mushana	Somnivora	夢夢蝕	Musharna	Musharna
0519	콩둘기	マメパト	Pidove	Poichigeon	Dusselgurr	豆豆鴿	Pidove	Pidove
0520	유토브	ハトーボー	Tranquill	Colombeau	Navitaub	咕咕鴿	Tranquill	Tranquill
0521	켄호로우	ケンホロウ	Unfezant	Déflaisan	Fasasnob	高傲雉雞	Unfezant	Unfezant
0522	줄뮤마	シママ	Blitzle	Zébribon	Elezeba	斑斑馬	Blitzle	Blitzle
0523	제브라이카	ゼブライカ	Zebstrika	Zéblitz	Zebritz	雷電斑馬	Zebstrika	Zebstrika
0524	단굴	ダンゴロ	Roggenrola	Nodulithe	Kiesling	石丸子	Roggenrola	Roggenrola
0525	암트르	ガントル	Boldore	Géolithe	Sedimantur	地幔岩	Boldore	Boldore
0526	기가이어스	ギガイアス	Gigalith	Gigalithe	Brockoloss	龐岩怪	Gigalith	Gigalith
0527	또르박쥐	コロモリ	Woobat	Chovsourir	Fleknoil	滾滾蝙蝠	Woobat	Woobat
0528	맘박쥐	ココロモリ	Swoobat	Rhinolove	Fletiamo	心蝙蝠	Swoobat	Swoobat
0529	두더류	モグリュー	Drilbur	Rototaupe	Rotomurf	螺釘地鼠	Drilbur	Drilbur
0530	몰드류	ドリュウズ	Excadrill	Minotaupe	Stalobor	龍頭地鼠	Excadrill	Excadrill
0531	다부니	タブンネ	Audino	Nanméouïe	Ohrdoch	差不多娃娃	Audino	Audino
0532	으랏차	ドッコラー	Timburr	Charpenti	Praktibalk	搬運小匠	Timburr	Timburr
0533	토쇠골	ドテッコツ	Gurdurr	Ouvrifier	Strepoli	鐵骨土人	Gurdurr	Gurdurr
0534	노보청	ローブシン	Conkeldurr	Bétochef	Meistagrif	修建老匠	Conkeldurr	Conkeldurr
0535	동챙이	オタマロ	Tympole	Tritonde	Schallquap	圓蝌蚪	Tympole	Tympole
0536	두까비	ガマガル	Palpitoad	Batracné	Mebrana	藍蟾蜍	Palpitoad	Palpitoad
0537	두빅굴	ガマゲロゲ	Seismitoad	Crapustule	Branawarz	蟾蜍王	Seismitoad	Seismitoad
0538	던지미	ナゲキ	Throh	Judokrak	Jiutesto	投摔鬼	Throh	Throh
0539	타격귀	ダゲキ	Sawk	Karaclée	Karadonis	打擊鬼	Sawk	Sawk
0540	두르보	クルミル	Sewaddle	Larveyette	Strawickl	蟲寶包	Sewaddle	Sewaddle
0541	두르쿤	クルマユ	Swadloon	Couverdure	Folikon	寶包繭	Swadloon	Swadloon
0542	모아머	ハハコモリ	Leavanny	Manternel	Matrifol	保母蟲	Leavanny	Leavanny
0543	마디네	フシデ	Venipede	Venipatte	Toxiped	百足蜈蚣	Venipede	Venipede
0544	휠구	ホイーガ	Whirlipede	Scobolide	Rollum	車輪毬	Whirlipede	Whirlipede
0545	펜드라	ペンドラー	Scolipede	Brutapode	Cerapendra	蜈蚣王	Scolipede	Scolipede
0546	소미안	モンメン	Cottonee	Doudouvet	Waumboll	木棉球	Cottonee	Cottonee
0547	엘풍	エルフーン	Whimsicott	Farfaduvet	Elfun	風妖精	Whimsicott	Whimsicott
0548	치릴리	チュリネ	Petilil	Chlorobule	Lilminip	百合根娃娃	Petilil	Petilil
0549	드레디어	ドレディア	Lilligant	Fragilady	Dressella	裙兒小姐	Lilligant	Lilligant
0550	배쓰나이	バスラオ	Basculin	Bargantua	Barschuft	野蠻鱸魚	Basculin	Basculin
0551	깜눈크	メグロコ	Sandile	Mascaïman	Ganovil	黑眼鱷	Sandile	Sandile
0552	악비르	ワルビル	Krokorok	Escroco	Rokkaiman	混混鱷	Krokorok	Krokorok
0553	악비아르	ワルビアル	Krookodile	Crocorible	Rabigator	流氓鱷	Krookodile	Krookodile
0554	달막화	ダルマッカ	Darumaka	Darumarond	Flampion	火紅不倒翁	Darumaka	Darumaka
0555	불비달마	ヒヒダルマ	Darmanitan	Darumacho	Flampivian	達摩狒狒	Darmanitan	Darmanitan
0556	마라카치	マラカッチ	Maractus	Maracachi	Maracamba	沙鈴仙人掌	Maractus	Maractus
